Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
398.15,1.5,5.8874,0.16985,6.8038,7.0586,17.739,215.97,268.06,735.68,-0.19708,162.47,0.095087,liquid
403.15,1.5,5.836,0.17135,8.1479,8.405,21.099,217.92,270.51,716.08,-0.18011,156.27,0.093826,liquid
408.15,1.5,5.7838,0.1729,9.5043,9.7637,24.449,219.87,272.99,696.49,-0.162,150.33,0.092575,liquid
413.15,1.5,5.7305,0.1745,10.873,11.135,27.788,221.81,275.52,676.89,-0.14262,144.63,0.091336,liquid
418.15,1.5,5.6763,0.17617,12.255,12.519,31.118,223.76,278.1,657.28,-0.12177,139.16,0.090107,liquid
423.15,1.5,5.6209,0.17791,13.649,13.916,34.439,225.7,280.75,637.63,-0.099266,133.9,0.088888,liquid
428.15,1.5,5.5642,0.17972,15.057,15.327,37.753,227.64,283.46,617.92,-0.074845,128.83,0.087679,liquid
433.15,1.5,5.5062,0.18161,16.478,16.751,41.06,229.57,286.25,598.14,-0.048211,123.95,0.086477,liquid
438.15,1.5,5.4467,0.1836,17.914,18.189,44.362,231.51,289.13,578.26,-0.019001,119.22,0.085282,liquid
443.15,1.5,5.3856,0.18568,19.364,19.642,47.659,233.44,292.12,558.24,0.013231,114.65,0.084092,liquid
448.15,1.5,5.3226,0.18788,20.829,21.111,50.954,235.38,295.24,538.04,0.049042,110.22,0.082907,liquid
453.15,1.5,5.2576,0.1902,22.31,22.595,54.248,237.32,298.52,517.64,0.089131,105.91,0.081724,liquid
458.15,1.5,5.1902,0.19267,23.807,24.096,57.542,239.26,301.98,496.97,0.13439,101.72,0.08054,liquid
463.15,1.5,5.1203,0.1953,25.322,25.615,60.84,241.2,305.68,475.98,0.18599,97.623,0.079354,liquid
468.15,1.5,5.0474,0.19812,26.856,27.153,64.143,243.16,309.66,454.59,0.24548,93.614,0.078161,liquid
473.15,1.5,4.9709,0.20117,28.411,28.712,67.456,245.13,314.0,432.7,0.31496,89.674,0.076959,liquid
478.15,1.5,4.8904,0.20448,29.987,30.294,70.781,247.12,318.81,410.19,0.39737,85.788,0.075741,liquid
483.15,1.5,4.805,0.20812,31.589,31.902,74.125,249.15,324.25,386.91,0.49701,81.935,0.074501,liquid
488.15,1.5,4.7135,0.21216,33.22,33.538,77.495,251.21,330.55,362.62,0.62038,78.089,0.073233,liquid
493.15,1.5,4.6145,0.21671,34.884,35.209,80.901,253.35,338.1,337.03,0.77792,74.218,0.071924,liquid
498.15,1.5,4.5054,0.22196,36.589,36.922,84.357,255.58,347.58,309.64,0.98782,70.273,0.070562,liquid
499.24,1.5,4.48,0.22321,36.966,37.301,85.117,256.09,350.0,303.39,1.0432,69.4,0.070257,liquid
499.24,1.5,0.55819,1.7915,52.862,55.549,121.67,258.4,324.66,131.97,21.41,11.686,0.041818,vapor
503.15,1.5,0.53853,1.8569,54.017,56.802,124.17,258.72,316.16,137.07,19.567,11.684,0.041835,vapor
508.15,1.5,0.51731,1.9331,55.464,58.363,127.26,259.31,308.74,142.75,17.701,11.701,0.04198,vapor
513.15,1.5,0.49923,2.0031,56.889,59.894,130.25,260.04,303.66,147.76,16.204,11.733,0.04222,vapor
518.15,1.5,0.48347,2.0684,58.3,61.403,133.18,260.9,300.09,152.25,14.966,11.777,0.042524,vapor
523.15,1.5,0.46949,2.13,59.701,62.896,136.05,261.84,297.55,156.33,13.919,11.828,0.042876,vapor
528.15,1.5,0.45694,2.1885,61.097,64.379,138.87,262.85,295.75,160.09,13.016,11.885,0.043264,vapor
533.15,1.5,0.44555,2.2444,62.488,65.855,141.65,263.92,294.5,163.59,12.228,11.947,0.043681,vapor
538.15,1.5,0.43512,2.2982,63.878,67.325,144.4,265.05,293.68,166.86,11.533,12.013,0.04412,vapor
543.15,1.5,0.42551,2.3501,65.267,68.792,147.11,266.21,293.18,169.93,10.913,12.082,0.044579,vapor
548.15,1.5,0.41659,2.4005,66.657,70.257,149.79,267.41,292.96,172.84,10.356,12.154,0.045055,vapor
553.15,1.5,0.40827,2.4493,68.048,71.722,152.45,268.64,292.96,175.6,9.8532,12.227,0.045543,vapor
558.15,1.5,0.40048,2.497,69.442,73.187,155.09,269.9,293.13,178.24,9.3959,12.302,0.046044,vapor
563.15,1.5,0.39316,2.5435,70.838,74.654,157.71,271.18,293.45,180.76,8.9781,12.379,0.046556,vapor
568.15,1.5,0.38626,2.589,72.238,76.122,160.3,272.48,293.9,183.18,8.5946,12.457,0.047076,vapor
573.15,1.5,0.37972,2.6335,73.642,77.593,162.88,273.8,294.45,185.51,8.2413,12.536,0.047605,vapor
578.15,1.5,0.37351,2.6773,75.051,79.067,165.44,275.13,295.1,187.76,7.9146,12.616,0.048142,vapor
583.15,1.5,0.36761,2.7203,76.463,80.544,167.98,276.47,295.82,189.92,7.6114,12.696,0.048685,vapor
588.15,1.5,0.36198,2.7626,77.881,82.025,170.51,277.82,296.61,192.03,7.3293,12.777,0.049234,vapor
593.15,1.5,0.35661,2.8042,79.304,83.51,173.03,279.18,297.45,194.06,7.0662,12.859,0.049789,vapor
598.15,1.5,0.35146,2.8453,80.732,84.999,175.53,280.54,298.35,196.04,6.82,12.941,0.050349,vapor
298.15,2.0,6.8008,0.14704,-17.75,-17.456,-53.089,177.89,224.75,1146.7,-0.41478,398.37,0.12312,liquid
303.15,2.0,6.759,0.14795,-16.623,-16.327,-49.335,179.66,226.64,1125.4,-0.40718,377.64,0.12163,liquid
308.15,2.0,6.7169,0.14888,-15.487,-15.189,-45.612,181.45,228.57,1104.3,-0.39936,358.5,0.12016,liquid
313.15,2.0,6.6747,0.14982,-14.341,-14.041,-41.917,183.28,230.53,1083.3,-0.39132,340.78,0.11869,liquid
318.15,2.0,6.6321,0.15078,-13.185,-12.884,-38.25,185.12,232.52,1062.4,-0.38305,324.33,0.11723,liquid
323.15,2.0,6.5893,0.15176,-12.02,-11.716,-34.608,186.98,234.55,1041.6,-0.37455,309.03,0.11578,liquid
328.15,2.0,6.5462,0.15276,-10.844,-10.538,-30.991,188.86,236.59,1021.0,-0.3658,294.75,0.11434,liquid
333.15,2.0,6.5028,0.15378,-9.6577,-9.3501,-27.398,190.75,238.67,1000.4,-0.35678,281.41,0.11292,liquid
338.15,2.0,6.4591,0.15482,-8.4612,-8.1515,-23.827,192.66,240.77,980.04,-0.34748,268.92,0.1115,liquid
343.15,2.0,6.415,0.15588,-7.2542,-6.9424,-20.278,194.57,242.89,959.74,-0.33788,257.2,0.1101,liquid
348.15,2.0,6.3706,0.15697,-6.0366,-5.7226,-16.749,196.5,245.03,939.55,-0.32796,246.18,0.1087,liquid
353.15,2.0,6.3257,0.15808,-4.8082,-4.4921,-13.239,198.43,247.19,919.47,-0.31769,235.8,0.10732,liquid
358.15,2.0,6.2804,0.15922,-3.5691,-3.2506,-9.7486,200.37,249.38,899.49,-0.30704,226.01,0.10596,liquid
363.15,2.0,6.2347,0.16039,-2.319,-1.9982,-6.276,202.31,251.59,879.6,-0.29598,216.76,0.10461,liquid
368.15,2.0,6.1885,0.16159,-1.0579,-0.73473,-2.8205,204.26,253.81,859.81,-0.28447,208.01,0.10327,liquid
373.15,2.0,6.1417,0.16282,0.21431,0.53995,0.61861,206.21,256.06,840.1,-0.27245,199.71,0.10195,liquid
378.15,2.0,6.0944,0.16409,1.4978,1.8259,4.042,208.16,258.34,820.46,-0.2599,191.83,0.10063,liquid
383.15,2.0,6.0465,0.16539,2.7926,3.1234,7.4504,210.12,260.63,800.9,-0.24673,184.34,0.099334,liquid
388.15,2.0,5.9979,0.16672,4.0989,4.4323,10.845,212.07,262.95,781.41,-0.2329,177.21,0.098048,liquid
393.15,2.0,5.9487,0.1681,5.4167,5.7529,14.225,214.02,265.3,761.97,-0.21833,170.41,0.096775,liquid
398.15,2.0,5.8987,0.16953,6.7463,7.0854,17.593,215.97,267.68,742.58,-0.20293,163.92,0.095515,liquid
403.15,2.0,5.848,0.171,8.0878,8.4298,20.948,217.91,270.09,723.23,-0.1866,157.72,0.094267,liquid
408.15,2.0,5.7964,0.17252,9.4412,9.7863,24.293,219.86,272.53,703.9,-0.16923,151.78,0.093032,liquid
413.15,2.0,5.7439,0.1741,10.807,11.155,27.626,221.8,275.02,684.59,-0.1507,146.09,0.091809,liquid
418.15,2.0,5.6904,0.17573,12.185,12.537,30.949,223.74,277.55,665.29,-0.13083,140.62,0.090598,liquid
423.15,2.0,5.6359,0.17743,13.576,13.931,34.264,225.67,280.13,645.97,-0.10947,135.37,0.089397,liquid
428.15,2.0,5.5802,0.1792,14.98,15.338,37.57,227.6,282.78,626.62,-0.086378,130.31,0.088207,liquid
433.15,2.0,5.5233,0.18105,16.397,16.759,40.869,229.53,285.49,607.22,-0.061317,125.44,0.087026,liquid
438.15,2.0,5.465,0.18298,17.827,18.193,44.161,231.46,288.28,587.75,-0.033975,120.74,0.085855,liquid
443.15,2.0,5.4052,0.18501,19.272,19.642,47.449,233.38,291.17,568.19,-0.0039802,116.19,0.08469,liquid
448.15,2.0,5.3437,0.18713,20.731,21.105,50.732,235.31,294.16,548.51,0.029123,111.78,0.083532,liquid
453.15,2.0,5.2804,0.18938,22.205,22.583,54.013,237.23,297.28,528.67,0.065898,107.51,0.082379,liquid
458.15,2.0,5.2151,0.19175,23.694,24.078,57.293,239.16,300.56,508.64,0.10705,103.36,0.081229,liquid
463.15,2.0,5.1474,0.19427,25.201,25.589,60.574,241.09,304.02,488.36,0.15349,99.308,0.080079,liquid
468.15,2.0,5.0771,0.19696,26.725,27.119,63.858,243.02,307.71,467.79,0.20638,95.355,0.078928,liquid
473.15,2.0,5.0039,0.19985,28.267,28.667,67.148,244.96,311.68,446.85,0.26725,91.484,0.077773,liquid
478.15,2.0,4.9271,0.20296,29.83,30.236,70.447,246.92,316.0,425.47,0.33819,87.68,0.076609,liquid
483.15,2.0,4.8463,0.20634,31.415,31.828,73.758,248.9,320.77,403.53,0.42205,83.929,0.075433,liquid
488.15,2.0,4.7607,0.21005,33.024,33.445,77.088,250.9,326.13,380.9,0.52295,80.212,0.074239,liquid
493.15,2.0,4.6692,0.21417,34.662,35.09,80.441,252.96,332.29,357.4,0.647,76.506,0.07302,liquid
498.15,2.0,4.5704,0.2188,36.332,36.769,83.829,255.07,339.58,332.77,0.80379,72.784,0.071769,liquid
503.15,2.0,4.4622,0.22411,38.041,38.489,87.264,257.28,348.59,306.66,1.0094,69.006,0.070474,liquid
508.15,2.0,4.3411,0.23036,39.799,40.26,90.766,259.65,360.36,278.47,1.2935,65.11,0.069122,liquid
513.15,2.0,4.2012,0.23803,41.625,42.101,94.371,262.26,377.27,247.18,1.7185,60.993,0.067697,liquid
518.15,2.0,4.0301,0.24813,43.555,44.051,98.154,265.36,406.1,210.62,2.4505,56.435,0.066195,liquid
518.34,2.0,4.0227,0.24859,43.632,44.129,98.303,265.5,407.66,209.07,2.4895,56.248,0.066137,liquid
518.34,2.0,0.84527,1.183,55.933,58.299,125.64,270.81,418.0,111.75,24.625,14.063,0.048494,vapor
523.15,2.0,0.78377,1.2759,57.632,60.183,129.26,269.98,372.01,122.0,20.656,13.78,0.047531,vapor
528.15,2.0,0.73842,1.3542,59.271,61.979,132.68,269.75,348.78,130.19,18.004,13.615,0.047161,vapor
533.15,2.0,0.70321,1.422,60.842,63.687,135.89,269.9,335.11,136.95,16.094,13.52,0.047086,vapor
538.15,2.0,0.67436,1.4829,62.373,65.338,138.98,270.29,326.2,142.77,14.621,13.466,0.047179,vapor
543.15,2.0,0.64989,1.5387,63.876,66.953,141.96,270.86,320.04,147.91,13.435,13.439,0.04738,vapor
548.15,2.0,0.62865,1.5907,65.36,68.542,144.88,271.57,315.65,152.55,12.451,13.433,0.047653,vapor
553.15,2.0,0.60988,1.6397,66.832,70.112,147.73,272.38,312.46,156.78,11.616,13.441,0.047981,vapor
558.15,2.0,0.59308,1.6861,68.295,71.668,150.53,273.28,310.13,160.68,10.895,13.46,0.048349,vapor
563.15,2.0,0.57786,1.7305,69.753,73.214,153.29,274.25,308.44,164.31,10.264,13.489,0.04875,vapor
568.15,2.0,0.56397,1.7732,71.207,74.753,156.01,275.27,307.24,167.71,9.7062,13.524,0.049176,vapor
573.15,2.0,0.55118,1.8143,72.658,76.287,158.69,276.35,306.42,170.91,9.2081,13.566,0.049623,vapor
578.15,2.0,0.53934,1.8541,74.109,77.818,161.35,277.47,305.91,173.95,8.7601,13.612,0.050088,vapor
583.15,2.0,0.52833,1.8928,75.561,79.346,163.99,278.62,305.65,176.83,8.3543,13.662,0.050568,vapor
588.15,2.0,0.51803,1.9304,77.014,80.875,166.6,279.81,305.59,179.58,7.9847,13.716,0.051061,vapor
593.15,2.0,0.50836,1.9671,78.468,82.403,169.18,281.01,305.7,182.21,7.6464,13.772,0.051565,vapor
598.15,2.0,0.49925,2.003,79.926,83.932,171.75,282.24,305.96,184.74,7.3353,13.831,0.052079,vapor
